trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.9, 'e': 0.00014515894904920887}",30,24,10.809677898054263,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.9, 'e': 0.0001417233560090703}",20,14,10.68620453389988,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.9, 'e': 0.0001384083044982699}",20,12,13.907981352852413,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.9, 'e': 0.00013520822065981613}",25,0,34.44299469891021,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.9, 'e': 0.0001321178491214163}",30,16,14.099385775100137,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.9, 'e': 0.00012913223140495868}",25,8,-50.32937194844138,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
89,False,"{'a': 0.9, 'e': 0.00012624668602449185}",30,7,33.95028945360206,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.9, 'e': 0.0001234567901234568}",20,12,14.786492493154515,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.9, 'e': 0.00012075836251660427}",25,5,34.80869258472607,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.9, 'e': 0.00011814744801512288}",30,18,23.28852781103054,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.9, 'e': 0.00011562030292519366}",25,18,13.352030478888004,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.9, 'e': 0.00011317338162064282}",30,10,29.75575969329545,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.9, 'e': 0.00011080332409972299}",20,4,-40.575695352319585,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
96,False,"{'a': 0.9, 'e': 0.00010850694444444444}",20,6,22.7478536003331,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.9, 'e': 0.00010628122010840685}",20,11,17.57201022141615,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.9, 'e': 0.00010412328196584757}",30,20,17.071849097370155,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.9, 'e': 0.00010203040506070809}",20,9,19.937143464821272,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.9, 'e': 0.0001}",20,11,13.690527695068035,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.9, 'e': 9.802960494069208e-05}",20,2,31.750469478995424,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.9, 'e': 9.611687812379854e-05}",30,17,26.942032897952032,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.9, 'e': 9.425959091337543e-05}",20,0,33.38521870859728,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.9, 'e': 9.245562130177515e-05}",20,1,-6.97884398583137,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.9, 'e': 9.070294784580499e-05}",25,16,18.153383870501543,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.9, 'e': 8.8999644001424e-05}",20,12,14.392411056740835,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.9, 'e': 8.734387282732117e-05}",25,14,21.421238494281255,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.9, 'e': 8.573388203017832e-05}",20,13,14.501035110587654,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.9, 'e': 8.416799932665601e-05}",20,4,19.500209836326498,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.9, 'e': 8.264462809917356e-05}",30,19,19.03043384917582,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.9, 'e': 8.116224332440549e-05}",35,21,25.378936747151,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 7.971938775510203e-05}",30,23,14.59014165103006,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.9, 'e': 7.831466833737959e-05}",30,10,28.347035931028408,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.9, 'e': 7.694675284702985e-05}",20,0,27.707801214581686,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.9, 'e': 7.561436672967863e-05}",20,13,9.31619432630141,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.9, 'e': 7.431629013079666e-05}",20,16,7.859486525276887,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.9, 'e': 7.305135510263716e-05}",20,9,20.520622038740832,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.9, 'e': 7.181844297615628e-05}",25,14,24.650461654612226,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.9, 'e': 7.06164818868724e-05}",20,2,27.24792674051834,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.9, 'e': 6.944444444444444e-05}",20,0,11.917886595954043,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
121,False,"{'a': 0.9, 'e': 6.830134553650706e-05}",20,10,19.31224147318317,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.9, 'e': 6.718624025799516e-05}",20,9,19.455282964801217,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.9, 'e': 6.609822195782933e-05}",30,1,39.786964174532734,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.9, 'e': 6.503642039542144e-05}",20,7,22.37100460193853,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.9, 'e': 6.4e-05}",20,9,19.77422947792603,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.9, 'e': 6.298815822625347e-05}",20,0,32.854176868819565,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.9, 'e': 6.2000124000248e-05}",25,1,34.11634960305433,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 6.103515625e-05}",30,12,33.80694873616196,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.9, 'e': 6.009254251547383e-05}",25,7,28.470109778329356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 5.9171597633136094e-05}",20,1,24.752750330871525,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.9, 'e': 5.8271662490530857e-05}",20,0,29.148082439733244,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
